NumberActors,TotalFatalities,StartYear,StartMonth,EndMonth,Region,DurationM,DurationY
2,0,1400,1,2,Europa,1,0
2,0,1400,0,0,Europa,0,2
2,0,1400,0,0,Europa,0,0
2,0,1400,8,9,Europa,1,0
3,0,1400,10,2,Medio Oriente,4,1
2,10000,1400,0,0,Asia Sud-Est,0,2
2,0,1401,0,0,Europa,0,1
2,0,1401,0,0,Europa,0,0
2,0,1401,0,0,Europa,0,3
2,0,1401,7,7,Medio Oriente,0,0
2,0,1401,0,0,Asia Sud-Est,0,9
2,0,1401,0,0,Asia Sud-Est,0,0
2,0,1401,0,0,Asia Sud-Est,0,5
2,0,1401,0,0,Asia Sud-Est,0,0
2,0,1401,0,0,Asia Sud-Est,0,0
2,0,1402,6,7,Europa,1,0
2,0,1402,12,12,Europa,0,0
2,0,1402,9,0,Europa,0,10
3,2700,1402,0,0,Europa,0,7
2,0,1402,0,0,Europa,0,20
2,3000,1402,9,0,Europa,0,1
2,0,1402,0,0,Europa,0,1
2,0,1402,7,7,Asia Centrale,0,0
2,300,1403,0,7,Europa,0,0
2,0,1403,0,0,Europa,0,0
5,0,1403,0,0,Europa,0,8
2,0,1403,0,0,Europa,0,13
2,0,1403,0,0,Europa,0,0
2,0,1403,0,0,Europa,0,10
2,0,1403,0,0,Europa,0,0
2,0,1403,3,3,Asia Sud-Est,0,0
2,0,1403,4,4,Asia Sud-Est,0,0
4,0,1404,0,0,Europa,0,1
2,0,1404,0,0,Europa,0,4
3,0,1404,0,0,Europa,0,31
2,0,1404,0,0,Africa,0,1
2,0,1404,0,0,Asia Sud-Est,0,0
3,300,1405,0,6,Europa,0,0
2,0,1405,0,0,Europa,0,0
2,0,1405,0,0,Europa,0,0
6,0,1405,0,0,Europa,0,7
2,1440,1405,0,0,Europa,0,2
2,0,1405,0,0,Africa,0,0
2,0,1405,0,0,Asia Sud-Est,0,23
2,0,1405,0,0,Asia Sud-Est,0,0
3,12800,1406,0,0,Europa,0,2
3,1200,1406,0,0,Europa,0,2
2,0,1406,0,0,Europa,0,3
2,0,1406,0,0,Europa,0,4
2,0,1406,0,0,Europa,0,0
2,0,1406,0,0,Europa,0,0
2,0,1406,0,0,Asia Sud-Est,0,4
2,0,1406,0,0,Asia Sud-Est,0,0
2,0,1406,0,0,Asia Sud-Est,0,0
2,0,1406,1,1,Asia Sud-Est,0,0
2,0,1406,1,6,Asia Sud-Est,17,1
2,0,1406,1,1,Asia Sud-Est,0,0
2,0,1407,0,0,Europa,0,5
2,0,1407,0,0,Europa,0,20
2,0,1407,0,0,Europa,0,0
2,0,1407,0,0,Asia Sud-Est,0,5
2,10000,1407,6,10,Asia Sud-Est,4,0
2,2000,1408,0,0,Europa,0,2
2,300,1408,2,0,Europa,0,0
2,0,1408,0,0,Europa,0,0
2,0,1408,0,0,Europa,0,0
2,0,1408,0,0,Medio Oriente,0,5
2,0,1408,0,0,Asia Centrale,0,0
3,0,1408,0,0,Asia Sud-Est,0,4
2,0,1408,8,11,Asia Sud-Est,15,1
2,0,1409,0,0,Europa,0,0
2,0,1409,0,0,Europa,0,4
2,0,1409,0,0,Europa,0,0
3,2300,1409,0,2,Europa,0,2
5,0,1409,0,7,Europa,0,26
2,100000,1409,7,7,Asia Centrale,180,15
2,0,1409,3,3,Asia Sud-Est,0,0
2,0,1409,4,4,Asia Sud-Est,0,0
2,0,1410,0,0,Europa,0,0
2,0,1410,0,0,Europa,0,2
2,0,1410,0,0,Africa,0,0
2,0,1410,0,0,Asia Sud-Est,0,0
2,0,1410,5,5,Asia Sud-Est,0,0
2,0,1410,8,8,Asia Sud-Est,0,0
2,0,1410,1,1,Asia Sud-Est,0,0
2,0,1411,0,0,Europa,0,1
2,0,1411,0,5,Europa,0,2
2,0,1411,7,3,Asia Sud-Est,32,3
2,0,1411,0,0,Asia Sud-Est,0,0
2,0,1411,0,0,Asia Sud-Est,0,0
0,0,1411,2,2,Asia Sud-Est,0,0
0,0,1411,5,5,Asia Sud-Est,0,0
3,0,1412,0,0,Europa,0,8
2,0,1412,0,0,Europa,0,3
4,0,1412,0,0,Europa,0,0
2,0,1412,0,0,Asia Sud-Est,0,1
2,0,1413,0,0,Europa,0,1
2,0,1413,0,0,Europa,0,0
2,0,1413,0,0,Europa,0,1
6,0,1413,0,0,Europa,0,8
3,6000,1413,0,9,Europa,0,9
2,0,1413,1,1,Asia Sud-Est,0,0
2,0,1413,8,8,Asia Sud-Est,0,0
2,0,1414,0,0,Europa,0,0
2,0,1414,0,0,Africa,0,1
2,1000,1414,11,6,Asia Centrale,7,1
2,0,1414,0,0,Asia Sud-Est,0,7
2,0,1414,0,5,Asia Sud-Est,0,0
2,0,1414,0,0,Asia Sud-Est,0,0
2,0,1414,0,0,Asia Sud-Est,0,0
2,0,1414,0,0,Asia Sud-Est,0,0
2,0,1414,7,7,Asia Sud-Est,0,0
2,0,1415,8,9,Europa,241,20
3,0,1415,0,0,Europa,0,0
2,77000,1415,8,0,Europa,0,29
2,0,1415,0,0,Africa,0,0
2,0,1415,0,0,Africa,0,0
2,0,1415,0,7,Africa,0,0
2,0,1415,3,3,Asia Sud-Est,0,0
2,0,1416,0,0,Europa,0,0
2,0,1416,0,0,Europa,0,0
3,100,1416,12,1,Asia Sud-Est,1,1
2,135,1416,0,0,Asia Sud-Est,0,0
2,0,1417,0,0,Asia Sud-Est,0,0
2,0,1418,0,0,Europa,0,0
2,0,1418,0,0,Europa,0,0
2,0,1414,0,0,Asia Sud-Est,0,4
2,0,1418,1,9,Asia Sud-Est,116,9
3,0,1419,0,0,Europa,0,0
2,0,1419,0,0,Europa,0,12
4,23400,1419,6,5,Europa,179,15
0,2623,1419,6,7,Asia Sud-Est,1,0
2,1000,1419,6,6,Asia Sud-Est,0,0
2,0,1420,0,0,Europa,0,6
2,0,1420,0,0,Europa,0,0
2,0,1420,0,0,Europa,0,4
2,0,1420,0,0,Asia Sud-Est,0,0
2,0,1420,0,0,Asia Centrale,0,0
2,0,1420,2,2,Asia Sud-Est,0,0
2,0,1421,0,0,Europa,0,0
0,0,1421,0,0,Europa,0,0
2,0,1421,2,2,Asia Sud-Est,0,0
2,0,1422,0,0,Europa,0,0
2,0,1422,0,0,Europa,0,4
2,0,1422,0,0,Africa,0,0
2,0,1422,7,7,Asia Sud-Est,12,1
